index,plate_id,registration_state,plate_type,violation_code,school_zone_violations,violation_borough,violation_description,manhattan_96_below_fine,all_other_fine,fines,row_num,row_pct,cum_share,school_zone_violations_binned,red_light_violations
5517900,KGN3658,NY,PAS,36,1,Staten Island,PHTO SCHOOL ZN SPEED VIOLATION,50.0,50.0,50.0,61987,0.020779118907969088,0.007817359208588856,1,0.0
5510529,KGL1521,NY,PAS,36,1,Brooklyn,PHTO SCHOOL ZN SPEED VIOLATION,50.0,50.0,50.0,62987,0.021114336274642247,0.007943470055988172,1,0.0
5534549,KGT4753,NY,PAS,36,1,Bronx,PHTO SCHOOL ZN SPEED VIOLATION,50.0,50.0,50.0,63987,0.021449553641315407,0.008069580903387488,1,0.0
5520950,KGP5662,PA,PAS,36,1,Queens,PHTO SCHOOL ZN SPEED VIOLATION,50.0,50.0,50.0,64987,0.021784771007988566,0.008195691750786806,1,0.0
5486859,KGE7754,NY,PAS,36,1,Bronx,PHTO SCHOOL ZN SPEED VIOLATION,50.0,50.0,50.0,65986,0.02211965315729505,0.008321676487338723,1,0.0
5478702,KGD2295,NY,PAS,36,1,Queens,PHTO SCHOOL ZN SPEED VIOLATION,50.0,50.0,50.0,66985,0.022454535306601537,0.00844766122389064,1,0.0
5503311,KGH8840,NY,OMS,36,1,Brooklyn,PHTO SCHOOL ZN SPEED VIOLATION,50.0,50.0,50.0,67985,0.022789752673274696,0.008573772071289957,1,0.0
5496050,KGG5941,NY,PAS,36,1,Queens,PHTO SCHOOL ZN SPEED VIOLATION,50.0,50.0,50.0,68985,0.023124970039947852,0.008699882918689275,1,0.0
5583491,KHG1675,PA,PAS,36,1,Queens,PHTO SCHOOL ZN SPEED VIOLATION,50.0,50.0,50.0,69985,0.02346018740662101,0.00882599376608859,1,0.0
5575550,KHE5532,NY,PAS,36,1,Queens,PHTO SCHOOL ZN SPEED VIOLATION,50.0,50.0,50.0,70985,0.02379540477329417,0.008952104613487909,1,0.0
5605609,KHM5477,NY,PAS,36,1,Brooklyn,PHTO SCHOOL ZN SPEED VIOLATION,50.0,50.0,50.0,71984,0.024130286922600656,0.009078089350039826,1,0.0
5597132,KHL1934,NY,PAS,36,1,Queens,PHTO SCHOOL ZN SPEED VIOLATION,50.0,50.0,50.0,72984,0.024465504289273816,0.009204200197439142,1,0.0
